id,x,y,ec.0-5 cm,ec.5-15 cm,ec.15-30 cm,ec.30-60 cm,ec.60-100 cm,ec.100-200 cm
82,799670.406,3586376.849,66.52651245,81.0126066,138.8446879,126.5202203,43.17625435,43.17625435
83,796619.8827,3585630.415,59.02865881,99.55310395,178.2384708,158.1346924,44.49967865,44.49967865
84,796075.7785,3580048.387,63.25243973,82.63287873,156.7638658,107.1718411,36.45179423,41.89124518
85,793142.2255,3578998.116,34.31292044,34.14388051,33.46903114,34.08763106,46.39361267,58.33578343
86,791856.0302,3579426.853,35.6584404,35.73011404,35.91140446,34.18581165,30.12046394,30.12046394
87,798478.4772,3578696.237,0,13.16603192,100.4283314,169.9223035,37.22272095,37.22272095
88,798568.0372,3577098.388,23.26596663,25.56663915,33.9390452,46.61148646,56.03344686,56.03344686
89,799118.5065,3576928.875,16.3235998,26.70810518,49.53794694,41.08667355,40.10239132,52.98446296
90,799752.9034,3575261.351,12.14751058,16.71918044,34.63742438,58.57615162,53.98079865,48.01844555
91,799140.5224,3574926.51,32.06672655,55.84919466,146.725729,117.9756563,34.43638398,88.88523545
92,797691.2717,3575045.696,14.56458694,29.54425708,89.34681616,180.5529355,68.5236634,13.75934788
93,796270.388,3576268.398,31.47392103,32.09542929,34.57664443,43.30286393,60.06787034,72.52978693
94,795877.3108,3576847.427,58.96828037,58.99615389,59.12656884,62.00939942,69.44637572,72.65029268
95,792787.6256,3576801.132,49.51609924,48.95726336,51.82012519,149.0209626,67.0677485,42.25045045
96,792978.4594,3574852.233,46.58783523,58.79846735,79.78805278,99.43336427,222.135344,235.4501082
97,787125.5835,3573752.784,130.1541772,137.2029114,153.8345608,132.3524453,68.31587147,68.31587147
98,776529.9172,3584275.999,62.33318752,93.83325329,143.3455807,121.3094111,45.24795809,14.32710309
99,773205.6453,3585691.669,115.8916107,102.679573,65.09687297,36.67411787,31.10210634,16.30076042
100,774165.9304,3586246.339,0.109870787,0.506654494,1.741014218,3.735014687,5.874529729,7.304620006
101,772048.9743,3587028.709,13.49110267,12.93652335,10.76533117,8.264659026,13.63836005,17.38026218
102,771026.9193,3585969.861,111.9738909,108.6946728,95.62092606,67.11848732,55.6953157,54.82654429
103,770441.0074,3588772.192,3.196554914,5.272015022,12.78615798,22.59961998,19.90936488,13.25053668
104,769511.0181,3590491.155,3.676385762,5.959992636,12.94532637,23.09600584,29.97704712,30.1595613
105,769819.857,3591409.791,3.114969964,5.06711359,10.36230884,12.02719673,7.325956896,3.800535872
106,770089.3853,3591424.952,25.60465664,34.28185255,83.47223339,150.5106741,47.46854669,55.87464656
107,768343.0813,3592027.696,18.33646459,15.92812325,8.658862962,22.81622258,49.87338058,60.66333464
108,768831.5778,3592956.436,1.334584614,1.461756242,1.969456928,3.463517573,5.77549744,7.50771349
